clubLabel,countryLabel,leagueLabel,venueLabel,coordinates,website
Preah Khan Reach Svay Rieng F.C.,Cambodia,Cambodian Premier League,Svay Rieng Stadium,Point(105.802856 11.082328),http://svayriengfc.com
Football Inter Club Association,Haiti,Ligue Haïtienne,Parc St. Victor,Point(-72.2075 19.753611),http://hfica.com/
Ulsan Hyundai Mipo Dockyard Dolphin FC,South Korea,Korea National League,Ulsan Stadium,Point(129.34802 35.562396),http://www.dolphinfc.com/
Adelaide United FC,Australia,A-League Women,Marden Sports Complex,Point(138.633 -34.8908),http://www.adelaideunited.com.au/
Brisbane Roar FC W-League,Australia,A-League Women,A.J. Kelly Park,Point(153.094444 -27.229167),https://www.brisbaneroar.com.au
Melbourne Victory FC W-League,Australia,A-League Women,Lakeside Stadium,Point(144.965 -37.84027778),http://www.melbournevictory.com.au
Europa FC,United Kingdom,Gibraltar National League,Victoria Stadium,Point(-5.350342 36.149356),http://www.europafc.gi/
FC Chernomorets 1919 Burgas,Bulgaria,Bulgarian V AFG,Chernomorets Stadium,Point(27.453056 42.490278),http://www.chernomoretz1919.com/
Anagennisi Lythrodonta,Cyprus,STOK Elite Division,Anagennisi Lythrodonta Ground,Point(33.305277777 34.950555555),http://www.anagennhsh.com/
Tasman United,New Zealand,New Zealand Football Championship,Trafalgar Park,Point(173.283056 -41.266944),http://www.tasmanunited.nz/
SAMB F.C.,Malaysia,Malaysia FAM League,Hang Tuah Stadium,Point(102.245369444 2.202741666),http://footplr.com/team/member/38961
PKNP F.C.,Malaysia,Malaysia FAM League,Perak Stadium,Point(101.103439 4.609433),http://www.pknpfc.com.my
AFC Lancaster Lions,United States of America,American Soccer League,Ephrata High School,Point(-76.191 40.18),http://afclancasterlions.com/
Kingston Stockade Football Club,United States of America,National Premier Soccer League,Dietz Stadium,Point(-74.02758611 41.9346),http://www.stockadefc.com/
San Antonio FC,United States of America,USL Championship,Toyota Field,Point(-98.394617 29.538908),https://www.sanantoniofc.com/
Tormenta FC,United States of America,USL League One,Eagle Field,Point(-81.7796 32.4098),http://www.tormentafc.com
PFC Neftochimic Burgas,Bulgaria,First Professional Football League,Lazur Stadium,Point(27.470278 42.5125),http://neftochimic.com/
Orsomarso S.C.,Colombia,Categoría Primera B,Estadio Francisco Rivera Escobar,Point(-76.30638889 3.52638889),https://www.orsomarsosc.com.co
Shenzhen Renren F.C.,People's Republic of China,China League Two,Bao'an Stadium,Point(113.876292 22.560988),http://www.renren-fc.com/a/shouye/
Omonoia AC Volleyball,Cyprus,Cyprus Volleyball Division 1,Eleftheria Indoor Hall,Point(33.31207349 35.14726179),http://www.omonoia.com.cy/
ZED FC,Egypt,Egyptian Second Division,Cairo International Stadium,Point(31.312333 30.069111),http://www.fcmasr.com/
Al-Arabi FC,Qatar,QATAR STARS LEAGUE,Grand Hamad Stadium,Point(51.520509 25.258708),http://alarabi.qa
San Diego Zest FC,United States of America,USL League Two,RIMAC Arena,Point(-117.239 32.8853),https://www.sandiegozestfc.us/
Albion SC San Diego,United States of America,National Premier Soccer League,Mission Bay High School,Point(-117.223 32.8),http://albionscpros.com/
FK Csíkszereda,Romania,Liga II,Stadionul Municipal,Point(25.80291667 46.36694444),http://fkcsikszereda.ro/
Rivers United F.C.,Nigeria,Nigeria Professional Football League,Yakubu Gowon Stadium,Point(7.02194 4.825),http://www.riversunitedfc.com.ng/
KF Skënderbeu Korçë B,Albania,Albanian Third Division,Skënderbeu Stadium,Point(20.782778 40.625833),http://www.kfskenderbeu.al
CD El Ejido 2012,Spain,Segunda División B,Estadio Municipal Santo Domingo,Point(-2.800494 36.764189),http://www.clubdeportivoelejido.com/
FK Panevėžys,Lithuania,A Lyga,Aukštaitija Stadium,Point(24.359444 55.739167),http://fk-panevezys.lt/
Jong FC Utrecht,Netherlands,Eerste Divisie,Sportcomplex Zoudenbalch,Point(5.146111 52.075833),http://www.fcutrecht.nl/
KS Cracovia,Poland,Ekstraklasa,Marshal Józef Piłsudski Stadium,Point(19.919722 50.058056),https://cracovia.pl/
Diyarbekirspor,Turkey,TFF Third League,Diyarbakır Atatürk Stadium,Point(40.221461 37.914261),http://www.diyarbekirspor.com.tr/
AirAsia F.C.,Malaysia,Malaysia FAM League,Petaling Jaya Stadium,Point(101.593769444 3.098708333),http://www.pjrangersfc.com/
Cibao FC,Dominican Republic,Primera División de Republica Dominicana,Estadio Cibao FC,Point(-70.79638889 19.44527778),http://www.cibaofc.com/
San Francisco City FC,United States of America,USL League Two,Negoesco Stadium,Point(-122.454 37.7765),http://sfcityfc.com/
Minnesota United FC,United States of America,Major League Soccer,Allianz Field,Point(-93.1651 44.9528),https://www.mnufc.com
Dalian Transcendence F.C.,People's Republic of China,China League One,Jinzhou Stadium,Point(121.7191 39.0953),http://transcendfc.com/
Chengdu Rongcheng F.C.,People's Republic of China,China League Two,Shuangliu Sports Centre,Point(103.894 30.5732),http://www.qbaofc.cn/
New York Cosmos B,United States of America,National Premier Soccer League,Mitchel Athletic Complex,Point(-73.597222222 40.724),http://www.nycosmos.com/
Dayton Dutch Lions WFC,United States of America,Women's Premier Soccer League,Dayton Outpatient Center Stadium,Point(-84.2307 39.6705),http://ddlfc.com/
Youngstown Nighthawks,United States of America,Premier Arena Soccer League,Covelli Centre,Point(-80.6468 41.0977),http://www.youngstownnighthawks.com/
Khon Kaen United F.C.,Thailand,Thai League 2,Khon Kaen Stadium,Point(102.82816 16.412716944),http://www.kkutd.com
CSM Deva,Romania,Liga III,Stadionul Cetate,Point(22.901389 45.889722),http://www.cnscetatedeva.ro
Young Fighters F.C.,Malaysia,Malaysia FAM League,UKM Bangi Stadium,Point(101.785 2.932),http://www.feldaunitedfc.com/players/index.php?team=3
Kornos FC 2013,Cyprus,STOK Elite Division,Kornos Community Stadium,Point(33.404229 34.917327),http://kornosfc2013.blogspot.com.cy/
Riga FC,Latvia,Latvian Higher League,Skonto Stadium,Point(24.116408 56.961372),https://rigafc.lv/
Miami FC,United States of America,USL Championship,Riccardo Silva Stadium,Point(-80.377778 25.7525),https://www.miamifc.com/
Chula Vista FC,United States of America,SoCal Premier League,Eastlake High School,Point(-116.968 32.6406),http://www.chulavistafc.com/
FC Juárez,Mexico,Liga MX,Estadio Olímpico Benito Juárez,Point(-106.467814 31.75305),http://www.fcjuarez.com/
Union Titus Pétange,Luxembourg,Luxembourg National Division,"Stade Municipal, Pétange",Point(5.856486111 49.557211111),https://www.uniontituspetange.lu/home
FC Kolos Kovalivka,Ukraine,Premier League,Kolos Stadium,Point(30.008333333 49.985833333),https://koloskovalivka.com/
Al-Feiha FC,Saudi Arabia,First Division League,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),http://www.alfiha.com/
Sanat Naft Novin Abadan F.C.,Iran,Iran Football's 2nd Division,Takhti Stadium,Point(48.292222 30.339444),http://www.sanatenaft.com/
Sepsi OSK Sfântu Gheorghe,Romania,Romanian SuperLiga,Stadionul Municipal,Point(25.77613889 45.86291667),https://sepsiosk.ro/
Ankaragücü Sports Club,Turkey,TFF Second League,Ankara 19 Mayıs Stadium,Point(32.845681 39.940094),http://ankaragucu.org.tr/
Kraze United,United States of America,National Premier Soccer League,UCF Soccer and Track Stadium,Point(-81.1952 28.60765),http://krazeunited.com/
Salisbury F.C.,United Kingdom,Southern Football League,Raymond McEnhill Stadium,Point(-1.785758 51.104339),http://www.salisburyfc.co.uk/
PFC Litex Lovech II,Bulgaria,Bulgarian B Professional Football Group,Lovech Stadium,Point(24.724861 43.142639),http://pfclitex.com/
PFC Ludogorets Razgrad II,Bulgaria,Bulgarian B Professional Football Group,Ludogorets Arena,Point(26.5275 43.53361111),http://www.ludogorets.com/all_news.php
Rio Grande Valley FC Toros,United States of America,USL Championship,RGVFC Stadium,Point(-98.1352 26.2826),http://www.rgvfc.com/
FC Nizhny Novgorod,Russia,Russian Premier League,Nizhny Novgorod Stadium,Point(43.963333333 56.3375),http://fcnn.ru/main/
Cape Town All Stars F.C.,South Africa,National First Division,Athlone Stadium,Point(18.516667 -33.961944),http://www.ctallstars.co.za
Cape Town All Stars F.C.,South Africa,National First Division,Idas Valley Stadium,Point(18.886595882 -33.920041466),http://www.ctallstars.co.za
FC Cincinnati,United States of America,Major League Soccer,TQL Stadium,Point(-84.522222222 39.111388888),https://www.fccincinnati.com/
FC Balkany Zorya,Ukraine,Ukrainian Second League,Borys Tropanets Stadium,Point(29.694 46.001083),http://fcbalkans.com.ua/
Công An Hà Nội FC,Vietnam,V.League 2,Hàng Đẫy Stadium,Point(105.833056 21.029722),http://www.vnleague.com/doi-bong/36-Cong-An-Nhan-Dan.html
FK Podgorica,Montenegro,Montenegrin Second League,Stari Ribnjak Stadium,Point(19.217361111 42.41175),https://www.fkpodgorica.me/
Dibba Club,United Arab Emirates,UAE Pro League,Fujairah Club Stadium,Point(56.343480555 25.130122222),http://www.dibbaclub.ae/index.php
CD Mirandés B,Spain,Tercera División,Estadio Municipal de Anduva,Point(-2.935556 42.680833),http://www.cdmirandes.com/
Royal Eagles F.C.,South Africa,National First Division,King Zwelithini Stadium,Point(30.9 -29.971389),http://royaleaglesfootballclub.co.za
Kara Shiraz F.C.,Iran,Iran Football's 2nd Division,Hafezieh Stadium,Point(52.556062 29.623865),http://www.kara.co/fc/
Royal Blues F.C.,Taiwan,Taiwan Football Premier League,Taipei Municipal Stadium,Point(121.551111 25.049444),http://royalbluestaipei.com
Reno 1868 FC,United States of America,USL Championship,Greater Nevada Field,Point(-119.808633 39.528131),https://www.reno1868fc.com/
Wellington Phoenix FC Reserves,New Zealand,New Zealand Football Championship,Newtown Park,Point(174.7825 -41.320278),http://www.wellingtonphoenix.com/
Europa Point F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,Point(-5.350342 36.149356),http://www.europapointfc.com/
Sport Rosario,Peru,Peruvian Primera División,Estadio Rosas Pampa,Point(-77.53361111 -9.52658333),http://clubsportrosario.com/
Melbourne City FC Youth,Australia,A-League Youth,John Ilhan Memorial Reserve,Point(144.916111 -37.665278),http://www.melbournecityfc.com.au/
Melbourne Victory FC Youth,Australia,A-League Youth,Epping Stadium,Point(145.024722 -37.625),http://www.melbournevictory.com.au
Western Sydney Wanderers FC Youth,Australia,A-League Youth,Blacktown Baseball Stadium,Point(150.855278 -33.770556),http://www.wswanderersfc.com.au/
Hereford F.C.,United Kingdom,Southern Football League,Edgar Street,Point(-2.717711 52.060719),http://www.herefordfc.co.uk/
Agudat Sport Nordia Jerusalem F.C.,Israel,Liga Alef,Hebrew University Stadium,Point(35.2 31.775833),http://betarnordia.co.il/
Burlingame Dragons FC,United States of America,USL League Two,Burlingame High School,Point(-122.347 37.5826),http://www.burlingamedragons.com/
FC Miami City,United States of America,USL League Two,Tropical Park Stadium,Point(-80.323036 25.730064),http://www.fcmiamicity.com
FC Stumbras,Lithuania,A Lyga,Darius and Girėnas Stadium,Point(23.936944 54.897222),http://www.fcstumbras.lt
Casa de Portugal em Macau,People's Republic of China,2ª Divisão de Macau,Estádio Campo Desportivo,Point(113.553266 22.154523),http://www.casadeportugal.org
Q19157432,Greece,Greek A Division,Kleanthis Vikelidis Stadium,Point(22.9695 40.600069),http://ariswomenfootball.blogspot.com.cy/
Ain Sud,France,Championnat National 3,Stade du Forum,Point(4.9875 45.8279),https://ainsud.com
Boca Juniors F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,Point(-5.350342 36.149356),http://fcboca.gi/
F.C. Hound Dogs,United Kingdom,Gibraltar Third Division,Victoria Stadium,Point(-5.350342 36.149356),http://fchounddogs.com
Mons Calpe S.C.,United Kingdom,Gibraltar National League,Victoria Stadium,Point(-5.350342 36.149356),http://www.monscalpesc.com/
AS Valence,France,Championnat National 2,Stade Georges Pompidou,Point(4.919267 44.94561),http://www.olympique-valence.fr
CS Național Sebiș,Romania,Liga III,Stadionul Crişana,Point(22.12736111 46.36955556),http://nationalsebis.ro/
Lions Gibraltar F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,Point(-5.350342 36.149356),http://www.lionsgibraltarfc.com/
FK Liepāja,Latvia,Latvian Higher League,Daugava Stadium,Point(20.995424 56.502952),https://fkliepaja.lv/
FK Klaipėdos Granitas,Lithuania,A Lyga,Central stadium of Klaipėda,Point(21.109618 55.726373),http://www.klaipedos-granitas.lt/
Karachi United,Pakistan,KASB Premier League,CDGK Stadium,Point(66.991389 24.850833),http://karachiunited.com/
Borneo F.C. Samarinda,Indonesia,Liga 1,Palaran Stadium,Point(117.13142 -0.5864),http://www.pusamaniafc.com/
Academico 83,Cape Verde,Campeonato Nacional de Cabo Verde,Estádio Municipal 20 de Janeiro,Point(-23.20525 15.136916666),http://academico83.com/
FC Petit-Goâve,Haiti,Ligue Haïtienne,Parc Anglade,Point(-72.861555555 18.43175),http://aspgclub.webs.com/
ASC Tidjikja,Mauritania,Mauritanian Premier League,Stade Olympique,Point(-15.98545556 18.10470278),http://fctidjikja.onlc.fr/
Bengaluru FC,India,Indian Super League,Sree Kanteerava Stadium,Point(77.593469 12.969556),https://www.bengalurufc.com/
NŠ Drava Ptuj,Slovenia,Slovenian Second League,Ptuj City Stadium,Point(15.87558611 46.416825),http://www.ns-drava.com/
Seoul E-Land FC,South Korea,K League 2,Mokdong Stadium,Point(126.883022 37.530509),http://www.seoulelandfc.com/
Bay Area Breeze,United States of America,USL W-League,Pioneer Stadium,Point(-122.061 37.6573),http://www.bayareabreeze.com
Q16328391,Greece,Q23905876,Municipal Stadium of Evosmos,Point(22.91308 40.66158),http://ae-evosmou.blogspot.com.cy/
Podosfairikos Omilos Xylotymvou 2006,Cyprus,Cypriot Second Division,Xylotymvou Community Stadium,Point(33.755069 35.007436),https://poxfc.com/
FC Saburtalo Tbilisi,Georgia,Erovnuli Liga,Mikheil Meskhi Stadium,Point(44.746247 41.709617),http://www.fcsaburtalo.ge/
Celebest F.C.,Indonesia,Liga Indonesia Premier Division,Gawalise Stadium,Point(119.83955278 -0.92296389),http://www.celebest.co.id/
Ida-Virumaa FC Alliance,Estonia,Esiliiga,Kohtla-Järve Spordikeskuse staadion,Point(27.258936 59.397786),http://www.fcjarve.ee/
SoCal Surf,United States of America,USL League Two,Army and Navy Academy,Point(-117.355 33.1622),http://www.socalsurfsoccer.com/
Gamba Osaka U-23,Japan,J3 League,Osaka Expo '70 Stadium,Point(135.5425 34.810278),http://www.gamba-osaka.net
Nashville SC,United States of America,USL Championship,First Horizon Park,Point(-86.784722222 36.172777777),https://www.nashvillesc.com
Scarborough SC,Canada,Canadian Soccer League,Birchmount Stadium,Point(-79.2608 43.6956),http://scarboroughsc.ca/ssc/
FC Zhemchuzhyna Odesa,Ukraine,Ukrainian Second League,Spartak Stadium,Point(30.748444 46.468389),http://fczhemchuzhina.od.ua/
FC Hermannstadt,Romania,Romanian SuperLiga,Municipal stadium in Sibiu,Point(24.143611 45.783056),https://fchermannstadt.ro/
Empire F.C.,Antigua and Barbuda,Antigua and Barbuda Premier Division,Antigua Recreation Ground,Point(-61.83903056 17.12235556),http://empirefootballclubantigua.com/
Empire F.C.,Antigua and Barbuda,Antigua and Barbuda Premier Division,Antigua Recreation Ground,Point(-61.83903056 17.12235556),http://www.empirefootballclubantigua.com
FC Bistrița,Romania,Liga III,Stadionul Gloria,Point(24.502778 47.130833),http://www.fcbistrita.ro/index.php
Ulaanbaatar City FC,Mongolia,Niislel League,G-Mobile Arena,Point(106.7893 47.8553),http://www.ubcityfc.mn
Florida Tropics SC,United States of America,Major Arena Soccer League,RP Funding Center,Point(-81.963619 28.041053),http://www.fltropics.com/
Akademija Pandev,North Macedonia,First Macedonian Football League,Stadion Mladost,Point(22.637708 41.4462),http://fkakademijapandev.mk
Boston Bolts,United States of America,USL League Two,Foxboro Stadium,Point(-71.267441666 42.0927),http://www.fcboston.org/
Charlottesville Alliance FC,United States of America,National Premier Soccer League,Charlottesville High School,Point(-78.4762 38.0524),https://cvillealliancefc.org/
Viljandi JK Tulevik II,Estonia,II liiga,Viljandi linnastaadion,Point(25.607033 58.361156),http://www.jktulevik.ee
Bayangol FC,Mongolia,Niislel League,MFF Football Centre,Point(106.916111 47.9),http://bayangolfc.com/
1º de Maio de Quelimane,Mozambique,Moçambola,Estádio 1º de Maio,Point(-8.4209 41.5388),http://clube1demaio.wix.com/clube1demaio
ASC Agouado,France,French Guiana Championnat National,Stade de Moutendé,Point(-54.34031 5.1513),https://agouado.footeo.com/
Club Tijuana Premier,Mexico,Segunda División de México,Caliente Stadium,Point(-116.993092 32.506067),http://www.xolos.com.mx/
Cape Town City F.C.,South Africa,Premier Soccer League,Cape Town Stadium,Point(18.411152777 -33.903461111),http://capetowncityfc.co.za/
Cape Town City F.C.,South Africa,South African Premier Division,Cape Town Stadium,Point(18.411152777 -33.903461111),http://capetowncityfc.co.za/
FC Mauerwerk,Austria,Austrian Regional League East,Rudolf-Tonn-Stadion,Point(16.468611 48.129167),http://www.fc-karabakh.at/
FC Legion-Dynamo Makhachkala,Russia,Russian Second League,Dynamo Stadium,Point(47.50720556 42.97982222),http://fc-legion.ru/
Atlético Ottawa,Canada,Canadian Premier League,TD Place Stadium,Point(-75.68365 45.398177777),https://atleticoottawa.canpl.ca
El Paso Coyotes,United States of America,Major Arena Soccer League,El Paso County Coliseum,Point(-106.443056 31.766389),http://www.elpasocoyotes.com/
FC Tokyo U-23,Japan,J3 League,Nishigaoka Soccer Stadium,Point(139.707778 35.769167),http://www.fctokyo.co.jp/
Nashville SC U23,United States of America,USL League Two,FirstBank Stadium,Point(-86.808888888 36.144166666),http://www.nashvillesc.com
New Bargh Fars F.C.,Iran,Iran Football's 2nd Division,Hafezieh Stadium,Point(52.556062 29.623865),http://www.newbarghclub.com/
Tindastóll men's football,Iceland,2. deild karla,Sauðárkróksvöllur,Point(-19.645743 65.745122),http://www.tindastoll.is
